mnid,clean_cooking,clean_lighting,house_ownership,male_head,literate_head,age_head,share_sq,pol_term,div_index,pol_index,year,new_lu_name,_est_m1,yhat_ols,_est_m2,yhat_fe_div,_est_m3,yhat_fe_both
Madi Municipality,.0022075055,.62844992,.94005591,.7360574,.61357045,47.674587,,,.81696182,.53062117,2011,Madi,1,.11728578,1,-.056031432,1,-.080331892
Madi Municipality,.063227952,.99500829,.92013311,.73211312,.68718803,48.883526,.3958116314383915,.1074463344148171,.60418838,.89255369,2021,,1,.30106756,1,.12146689,1,.14576735
Dharmadevi Municipality,.016873416,.85335225,.92878777,.72278166,.6532473,45.958286,,,.74831635,.63237822,2011,Dharmadevi,1,.12836462,1,-.0095631145,1,-.033542898
Dharmadevi Municipality,.079295151,.98825258,.94126284,.74743026,.72099853,49.632893,.4400893380798152,.0609478004189441,.55991066,.93905222,2021,,1,.25968421,1,.10573168,1,.12971146
Khumbu Pasanglhamu Gaunpalika,.22757113,.96295547,.70850801,.80499923,.60903901,45.023125,,,.5451442,.69397652,2011,Khumbupasanglahmu,1,.3835527,1,.36213878,1,.42303947
Khumbu Pasanglhamu Gaunpalika,.67704278,.9844358,.67315173,.69649804,.61673152,46.406616,.8601877941680414,.7353159403428435,.1398122,.26468405,2021,,1,.52204889,1,.54247516,1,.48157445
Mahakulung Gaunpalika,0,.5838905,.97447705,.85528839,.50583577,43.585045,,,.42096388,.56823254,2011,Mahakulung,1,-.030886065,1,-.075235166,1,-.020441223
Mahakulung Gaunpalika,.035587188,.9679715,.97153026,.77402133,.64946622,46.423489,.9174511549822313,.8401380502327811,.082548842,.15986195,2021,,1,.091783091,1,.11082235,1,.056028411
Sotang Gaunpalika,0,.71628141,.95900071,.84746993,.48238987,45.724518,,,.80880678,.57069945,2011,Sotang,1,.084672257,1,-.072060272,1,-.087727718
Sotang Gaunpalika,.086419754,.97530866,.94855964,.7798354,.69341564,47.325104,.52039367184193,.1963181040482596,.47960633,.80368191,2021,,1,.23685643,1,.15848003,1,.17414747
Mapya Dudhkoshi Gaunpalika,.0028011205,.78949714,.9824481,.8030622,.47970411,47.181393,,,.68008661,.71869421,2011,Dudhkoshi,1,.0056867553,1,-.094411373,1,-.064031124
Mapya Dudhkoshi Gaunpalika,.061538462,.99145299,.95213675,.69059831,.64102566,46.211967,.6407984242938483,.386306568980217,.35920158,.61369342,2021,,1,.19445498,1,.15875095,1,.1283707
Thulung Dudhkoshi Gaunpalika,0,.70904046,.93488413,.74977231,.53883624,48.490276,,,.68519962,.65754753,2011,Thulung Dudhkoshi,1,.073350474,1,-.023912877,1,-.023538988
Thulung Dudhkoshi Gaunpalika,.064032696,.99591279,.96594006,.7574932,.62261581,49.297001,.4849254389453392,.1866229012957774,.51507455,.81337708,2021,,1,.20117059,1,.087945573,1,.087571681
Necha Salyan Gaunpalika,.0017857143,.54963553,.93406492,.76706082,.60010058,50.819283,,,.7545532,.60971862,2011,Nechasalyan,1,.089854628,1,-.018504847,1,-.039369967
Necha Salyan Gaunpalika,.036630038,.97619045,.98168498,.77106225,.67032969,53.309525,.4397212596242923,.0937668620317709,.56027871,.90623313,2021,,1,.17625694,1,.056920599,1,.077785715
Solu Dhudhakunda Municipality,.025107151,.88719451,.82824707,.68394709,.49875867,47.331467,,,.7363224,.68595552,2011,Solududhakunda,1,.23717967,1,.010185205,1,.02961251
Solu Dhudhakunda Municipality,.26746726,.98034936,.78602618,.64737993,.68340611,46.144104,.5876900286876889,.3154472436290234,.41230997,.68455273,2021,,1,.44845268,1,.28238919,1,.26296189
Likhu Pike Gaunpalika,.0087719299,.80601889,.87774283,.77277422,.49010319,48.983639,,,.62218243,.70019978,2011,Likhupike,1,.12759,1,-.0025368251,1,-.016282437
Likhu Pike Gaunpalika,.017964073,1,.97305387,.83532935,.62574852,51.479042,.4573825479089919,.0495774687733501,.54261744,.95042253,2021,,1,.18949234,1,.029272828,1,.043018438
Chishankhu Gadhi Gaunpalika,.0027472528,.67426753,.97561586,.74325931,.56145215,51.3414,,,.75388676,.58231425,2011,Chisankhugadhi,1,.022262206,1,-.032180808,1,-.044782799
Chishankhu Gadhi Gaunpalika,.036363635,.98842973,.99338841,.71570247,.57190084,51.78347,.4337461000210965,.137522503035143,.5662539,.86247748,2021,,1,.15498586,1,.0712917,1,.083893687
Siddhicharan Municipality,.02802512,.67124772,.92591351,.65727264,.56758255,47.701839,,,.72390574,.64830613,2011,Siddhicharan,1,.10240591,1,.050952122,1,.040371653
Siddhicharan Municipality,.15974441,.98722047,.96592116,.70074546,.65282214,50.686901,.4476984677080154,.1485026353329886,.55230153,.85149735,2021,,1,.20635681,1,.13681741,1,.14739788
Molung Gaunpalika,.0044642859,.69558394,.97614056,.77143669,.50964916,48.563641,,,.74133998,.65293801,2011,Molung,1,.027239533,1,-.040811185,1,-.049906109
Molung Gaunpalika,.071953014,.969163,.97503674,.77533042,.60499263,50.261379,.4181667218150409,.1209102432767395,.5818333,.87908977,2021,,1,.19990252,1,.11722849,1,.1263234
Khiji Demba Gaunpalika,0,.86096811,.96196175,.728719,.4926002,49.165928,,,.70054847,.7042731,2011,Khijidemba,1,.028874991,1,-.039652821,1,-.014555327
Khiji Demba Gaunpalika,.059870549,.98867315,.97411001,.77831715,.592233,50.063107,.6548593955490816,.3984043693926651,.34514061,.60159564,2021,,1,.13416117,1,.099523365,1,.074425876
Likhu Gaunpalika,.0050167227,.68400419,.97480392,.73671949,.4707073,52.089153,,,.72866046,.62211514,2011,Likhu,1,-.00026248672,1,-.039443225,1,-.051128019
Likhu Gaunpalika,.035714287,.9982993,.99149662,.79591835,.53911567,52.795918,.3931187795598134,.0963703019660898,.6068812,.90362972,2021,,1,.16139418,1,.08017423,1,.091859028
Champadevi Gaunpalika,0,.51133823,.9564153,.73446023,.37855971,48.140995,,,.65785497,.63402277,2011,Champadevi,1,.01516652,1,-.013317298,1,-.03232592
Champadevi Gaunpalika,.073637702,.97938144,.99705452,.74815905,.4963181,51.783504,.4049491682717132,.0818714964552782,.59505081,.91812849,2021,,1,.14866655,1,.086954996,1,.10596362
