mnid,clean_cooking,clean_lighting,div_index,pol_index,new_lu_name,yhat_ols,yhat_fe_div,yhat_fe_both
Bideha Municipality,.22990844,.9979654,.63142455,.78616709,,.18626617,.21885115,.24387985
Aurahi Gaunpalika,.35685751,.99334222,.47710451,.70988107,,.13268451,.2831237,.3114149
Janakpurdham Sub-Metropolitan City,.72615129,.99506581,.53434545,.72306639,,.41334963,.63039279,.64579982
Dhanauji Gaunpalika,.24686192,.99023712,.65437818,.77493221,,.18245634,.22261994,.24509834
Nagarain Municipality,.30538923,.98303396,.58829147,.77720428,,.21821642,.2731066,.29586816
Mukhiyapatti Musaharmiya Gaunpalika,.23514852,.99381191,.35533187,.60063887,,.093865834,.21380052,.20119309
Bardibas Municipality,.46614069,.99342537,.75508153,.70463622,,.36013889,.39375427,.39551795
Gaushala Municipality,.25679544,.99499285,.61492079,.70886809,,.21297345,.22479618,.24746613
Sonama Gaunpalika,.10010214,.98672116,.41948786,.67149991,,.12917326,.14785066,.14367315
Aurahi Municipality,.21558164,.98505872,.53564548,.78580189,,.17711431,.20508227,.22651707
Bhangaha Municipality,.2025,.98250002,.73395652,.7517181,,.25203347,.21164653,.22612157
Loharpatti Municipality,.31826568,.98985237,.60152477,.81021816,,.18790518,.27247131,.28401899
Balawa Municipality,.27379873,.99546689,.63541579,.79331577,,.18744741,.24081931,.25987965
Ram Gopalpur Municipality,.21262458,.98671097,.70762187,.76702738,,.21468662,.19358861,.20234725
Samsi Gaunpalika,.14782609,.98804349,.63488102,.86484092,,.17018813,.16228056,.16180366
Manara Shisawa Municipality,.25809273,.97550309,.55753958,.73759216,,.15686077,.21570636,.23933601
Ekadara Gaunpalika,.14352942,.97058821,.64617187,.77895075,,.18395376,.17074732,.18384083
Mahottari Gaunpalika,.25903615,.98554218,.59496379,.79736036,,.16385297,.21574655,.25470686
Pipara Gaunpalika,.44217688,.98931003,.60499591,.77393901,,.18179366,.32397589,.34503847
Matihani Municipality,.25137213,.98133922,.69255942,.79872757,,.18736736,.21852559,.24031466
Jaleshwor Municipality,.41322958,.98599219,.60592633,.76670474,,.22922876,.3433125,.35996258
Lalbandi Municipality,.54014087,.99225354,.762119,.67580664,,.31101641,.41256675,.41569576
Hariwan Municipality,.64586848,.98988193,.75844324,.69568294,,.28265259,.46917051,.48311454
Bagmati Municipality,.47895622,.95875418,.69846451,.75523269,,.24045746,.37609267,.39558783
Barahathawa Municipality,.2857143,.99306518,.52077228,.6957792,,.17766868,.24726219,.26775905
Haripur Municipality,.23763336,.98351115,.79379028,.63107604,,.25015852,.21310589,.21685648
Ishworpur Municipality,.24591382,.99479944,.75750607,.64385581,,.23769321,.22117339,.22996272
Haripurwa Municipality,.11122882,.99258476,.49752021,.71412379,,.14096384,.14907511,.15768468
Parsa Gaunpalika,.17403315,.98342544,.55421609,.7338382,,.16848542,.1774576,.1861203
